TeamID,Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
5809ddc3,2017-2018,vs Eupen,29,26.0,54.0,40,330.0,2700.0,30.0,54.0,38.0,92.0,46.0,8.0,9.0,67.0,1.0,45.4,38.3,32.8,71.1,555.0,1355.0
f780fd06,2017-2018,vs Excel Mouscron,32,26.0,52.8,40,330.0,2700.0,30.0,56.0,40.0,96.0,50.0,6.0,9.0,63.0,5.0,47.7,40.6,29.7,70.3,509.0,1367.0
1e972a99,2017-2018,vs Genk,28,25.9,46.4,40,440.0,3600.0,40.0,45.0,30.0,75.0,39.0,6.0,6.0,96.0,4.0,43.2,38.5,28.9,67.4,655.0,1494.0
51e5a603,2017-2018,vs Gent,32,25.8,44.5,40,440.0,3600.0,40.0,35.0,23.0,58.0,33.0,2.0,3.0,104.0,4.0,38.3,35.8,26.1,61.9,583.0,1378.0
77193015,2017-2018,vs Kortrijk,30,26.0,50.8,40,330.0,2700.0,30.0,36.0,24.0,60.0,31.0,5.0,8.0,60.0,3.0,47.4,41.0,32.5,73.5,498.0,1367.0
bada91db,2017-2018,vs Lokeren,31,25.8,53.8,40,330.0,2700.0,30.0,47.0,37.0,84.0,46.0,1.0,1.0,59.0,5.0,44.5,43.7,32.2,75.8,537.0,1531.0
09f00144,2017-2018,vs Mechelen,33,25.8,53.6,30,330.0,2700.0,30.0,49.0,39.0,88.0,48.0,1.0,3.0,76.0,1.0,34.8,32.4,26.4,58.8,474.0,1151.0
95b895fe,2017-2018,vs Oostende,33,25.6,54.4,40,330.0,2700.0,30.0,41.0,27.0,68.0,39.0,2.0,2.0,64.0,5.0,37.3,35.7,25.6,61.3,671.0,1550.0
80328a1e,2017-2018,vs Sint-Truiden,25,25.7,52.6,40,330.0,2700.0,30.0,40.0,27.0,67.0,36.0,4.0,5.0,78.0,8.0,40.3,36.3,27.5,63.8,468.0,1211.0
33c6b26e,2017-2018,vs Standard Liège,32,25.6,48.8,40,440.0,3600.0,40.0,49.0,31.0,80.0,44.0,5.0,7.0,110.0,7.0,45.5,40.0,29.3,69.4,577.0,1408.0
0217e4d8,2017-2018,vs Waas-Beveren,31,25.8,50.1,40,330.0,2700.0,30.0,50.0,37.0,87.0,48.0,2.0,4.0,69.0,3.0,42.9,39.8,31.7,71.5,537.0,1253.0
ecd34b98,2017-2018,vs Zulte Waregem,26,25.8,48.7,40,330.0,2700.0,30.0,50.0,37.0,87.0,44.0,6.0,8.0,64.0,6.0,41.7,35.4,27.5,63.0,482.0,1119.0
08ad393c,2018-2019,vs Anderlecht,32,25.9,41.2,40,440.0,3600.0,40.0,48.0,31.0,79.0,45.0,3.0,3.0,83.0,5.0,45.1,43.6,31.9,75.5,656.0,1308.0
c2e6b53b,2018-2019,vs Antwerp,26,25.5,53.7,40,440.0,3600.0,40.0,50.0,31.0,81.0,42.0,8.0,10.0,81.0,5.0,53.7,45.7,36.8,82.6,734.0,1714.0
e8d2adc4,2018-2019,vs Cercle Brugge,28,25.8,56.5,40,330.0,2700.0,30.0,56.0,43.0,99.0,51.0,5.0,7.0,58.0,4.0,50.5,45.0,36.2,81.3,543.0,1395.0
